"Step","dulcet-rain-4 - train/sigreg","dulcet-rain-4 - train/sigreg__MIN","dulcet-rain-4 - train/sigreg__MAX"
"14934","3.875","3.875","3.875"
"14938","3.734375","3.734375","3.734375"
"14959","4.09375","4.09375","4.09375"
"14974","3.59375","3.59375","3.59375"
"14978","4.03125","4.03125","4.03125"
"14981","3.5","3.5","3.5"
"15005","4.125","4.125","4.125"
"15032","4.3125","4.3125","4.3125"
"15038","3.546875","3.546875","3.546875"
"15053","4.03125","4.03125","4.03125"
"15063","3.84375","3.84375","3.84375"
"15070","4.125","4.125","4.125"
"15149","3.96875","3.96875","3.96875"
"15182","3.828125","3.828125","3.828125"
"15190","3.984375","3.984375","3.984375"
"15201","4","4","4"
"15215","3.546875","3.546875","3.546875"
"15269","3.84375","3.84375","3.84375"
"15285","3.921875","3.921875","3.921875"
"15293","3.90625","3.90625","3.90625"
"15295","3.890625","3.890625","3.890625"
"15311","4.78125","4.78125","4.78125"
"15333","4.21875","4.21875","4.21875"
"15360","3.71875","3.71875","3.71875"
"15418","4.09375","4.09375","4.09375"
"15437","4","4","4"
"15473","3.453125","3.453125","3.453125"
"15495","4.09375","4.09375","4.09375"
"15511","4.03125","4.03125","4.03125"
"15519","3.40625","3.40625","3.40625"
"15527","3.84375","3.84375","3.84375"
"15558","4","4","4"
"15568","4.28125","4.28125","4.28125"
"15635","3.8125","3.8125","3.8125"
"15671","4","4","4"
"15696","3.640625","3.640625","3.640625"
"15698","3.90625","3.90625","3.90625"
"15744","3.78125","3.78125","3.78125"
"15745","3.765625","3.765625","3.765625"
"15788","3.765625","3.765625","3.765625"
"15799","4.4375","4.4375","4.4375"
"15801","4.09375","4.09375","4.09375"
"15857","3.890625","3.890625","3.890625"
"15871","4.46875","4.46875","4.46875"
"15879","4.03125","4.03125","4.03125"
"15897","4.03125","4.03125","4.03125"
"15909","4.125","4.125","4.125"
"15931","3.78125","3.78125","3.78125"
"15941","3.890625","3.890625","3.890625"
"15943","4.09375","4.09375","4.09375"
"15951","3.84375","3.84375","3.84375"
"15971","4.5625","4.5625","4.5625"
"15976","3.84375","3.84375","3.84375"
"15979","3.875","3.875","3.875"
"15995","3.796875","3.796875","3.796875"
"16008","3.984375","3.984375","3.984375"
"16029","4.03125","4.03125","4.03125"
"16105","4.03125","4.03125","4.03125"
"16145","3.953125","3.953125","3.953125"
"16171","4","4","4"
"16196","4","4","4"
"16199","4.21875","4.21875","4.21875"
"16237","4.125","4.125","4.125"
"16247","3.828125","3.828125","3.828125"
"16277","3.953125","3.953125","3.953125"
"16304","3.890625","3.890625","3.890625"
"16342","4","4","4"
"16363","3.578125","3.578125","3.578125"
"16369","3.453125","3.453125","3.453125"
"16403","3.703125","3.703125","3.703125"
"16407","3.375","3.375","3.375"
"16465","3.859375","3.859375","3.859375"
"16538","3.953125","3.953125","3.953125"
"16585","3.734375","3.734375","3.734375"
"16586","3.609375","3.609375","3.609375"
"16596","3.5625","3.5625","3.5625"
"16597","3.875","3.875","3.875"
"16600","4.09375","4.09375","4.09375"
"16612","3.796875","3.796875","3.796875"
"16673","4.03125","4.03125","4.03125"
"16677","3.5625","3.5625","3.5625"
"16679","3.78125","3.78125","3.78125"
"16684","4.03125","4.03125","4.03125"
"16692","3.984375","3.984375","3.984375"
"16705","3.609375","3.609375","3.609375"
"16711","3.78125","3.78125","3.78125"
"16728","4.09375","4.09375","4.09375"
"16749","3.25","3.25","3.25"
"16780","4.15625","4.15625","4.15625"
"16787","4.0625","4.0625","4.0625"
"16795","3.984375","3.984375","3.984375"
"16814","3.78125","3.78125","3.78125"
"16870","3.90625","3.90625","3.90625"
